source,name,feature,section,option,level,variable,aggregation,conversion
input,cropCoefficient,routing_cropCoefficient,routingOptions,cropcoefficientwaternc,,,mean,
input,channelGradient,routing_channelGradient,routingOptions,gradient,,,mean,
input,constantBankfullDepth,routing_constantBankfullDepth,routingOptions,constantchanneldepth,,,mean,
input,constantBankfullWidth,routing_constantBankfullWidth,routingOptions,constantchannelwidth,,,mean,
input,minimumBankfullWidth,routing_minimumBankfullWidth,routingOptions,minimumchannelwidth,,,mean,
input,dzRel0000,routing_dzRel0000,routingOptions,relativeelevationfiles,dzRel0000,,mean,
input,dzRel0001,routing_dzRel0001,routingOptions,relativeelevationfiles,dzRel0001,,mean,
input,dzRel0005,routing_dzRel0005,routingOptions,relativeelevationfiles,dzRel0005,,mean,
input,dzRel0010,routing_dzRel0010,routingOptions,relativeelevationfiles,dzRel0010,,mean,
input,dzRel0020,routing_dzRel0020,routingOptions,relativeelevationfiles,dzRel0020,,mean,
input,dzRel0030,routing_dzRel0030,routingOptions,relativeelevationfiles,dzRel0030,,mean,
input,dzRel0040,routing_dzRel0040,routingOptions,relativeelevationfiles,dzRel0040,,mean,
input,dzRel0050,routing_dzRel0050,routingOptions,relativeelevationfiles,dzRel0050,,mean,
input,dzRel0060,routing_dzRel0060,routingOptions,relativeelevationfiles,dzRel0060,,mean,
input,dzRel0070,routing_dzRel0070,routingOptions,relativeelevationfiles,dzRel0070,,mean,
input,dzRel0080,routing_dzRel0080,routingOptions,relativeelevationfiles,dzRel0080,,mean,
input,dzRel0090,routing_dzRel0090,routingOptions,relativeelevationfiles,dzRel0090,,mean,
input,dzRel0100,routing_dzRel0100,routingOptions,relativeelevationfiles,dzRel0100,,mean,
input,cellArea,routing_cellArea,routingOptions,cellareamap,,,mean,
input,cellAreaSum,routing_cellAreaSum,routingOptions,cellareamap,,,sum,
input,cellAreaCount,routing_cellAreaCount,routingOptions,cellareamap,,,count,
input,waterBodySurfaceFraction,routing_waterBodySurfaceFraction,routingOptions,waterbodyinputnc,,fracWaterInp,mean,
input,reservoirSurfaceArea,routing_reservoirSurfaceArea,routingOptions,waterbodyinputnc,,resSfAreaInp,mean,
input,reservoirMaximumCapacity,routing_reservoirMaximumCapacity,routingOptions,waterbodyinputnc,,resMaxCapInp,mean,
output,waterbody_actual_evaporation_flux,waterbody_actual_evaporation_flux,,waterBodyActEvaporation,,,sum,to_flux
output,surface_water_infiltration_flux,surface_water_infiltration_flux,,surfaceWaterInf,,,sum,to_flux
output,landsurface_runoff_flux,landsurface_runoff_flux,,landsurfaceRunoff,,,sum,to_flux
output,surface_water_abstraction_flux,surface_water_abstraction_flux,,surfaceWaterAbstraction,,,sum,to_flux
output,upstream_discharge_flux,upstream_discharge_flux,,upstreamDischargeAgg,,,,
generated,waterbody_actual_evaporation_mean,waterbody_actual_evaporation_mean,,,,,,
generated,surface_water_infiltration_mean,surface_water_infiltration_mean,,,,,,
generated,landsurface_runoff_mean,landsurface_runoff_mean,,,,,,
generated,surface_water_abstraction_mean,surface_water_abstraction_mean,,,,,,
generated,upstream_discharge_mean,upstream_discharge_mean,,,,,,
